,Choke_x,Choke_y,Gas Flow Rate_x,Gas Flow Rate_y,Total
300,2,98,1554.249386,19376.30707,20930.55646
301,2,99,1552.530084,19597.55074,21150.08082
302,2,100,1550.810781,19829.95354,21380.76433
303,3,0,2521.303596,0,2521.303596
304,3,1,2521.303596,545.1009319,3066.404528
305,3,2,2521.303596,1211.329688,3732.633284
306,3,3,2521.303596,1858.875953,4380.179549
307,3,4,2518.782292,2485.515872,5004.298164
308,3,5,2516.260989,3092.783371,5609.04436
309,3,6,2513.739685,3680.999836,6194.739522
310,3,7,2511.218382,4250.486652,6761.705034
311,3,8,2508.697078,4801.565203,7310.262281
312,3,9,2506.175774,5334.556875,7840.732649
313,3,10,2503.654471,5849.783051,8353.437522
314,3,11,2501.133167,6347.565118,8848.698286
315,3,12,2498.611864,6828.22446,9326.836324
316,3,13,2496.09056,7292.082462,9788.173022
317,3,14,2493.569256,7739.460509,10233.02977
318,3,15,2491.047953,8170.679985,10661.72794
319,3,16,2488.526649,8586.062277,11074.58893
320,3,17,2486.005346,8985.928767,11471.93411
321,3,18,2483.484042,9370.600843,11854.08488
322,3,19,2480.962739,9740.399887,12221.36263
323,3,20,2478.441435,10095.64729,12574.08872
324,3,21,2475.920131,10436.66442,12912.58456
325,3,22,2473.398828,10763.77269,13237.17151
326,3,23,2470.877524,11077.29346,13548.17098
327,3,24,2468.356221,11377.54812,13845.90434
328,3,25,2465.834917,11664.85806,14130.69298
329,3,26,2463.313613,11939.54467,14402.85829
330,3,27,2460.79231,12201.92933,14662.72164
331,3,28,2458.271006,12452.33342,14910.60442
332,3,29,2455.749703,12691.07832,15146.82803
333,3,30,2453.228399,12918.48543,15371.71383
334,3,31,2450.707095,13134.87613,15585.58323
335,3,32,2448.185792,13340.57181,15788.7576
336,3,33,2445.664488,13535.89384,15981.55832
337,3,34,2443.143185,13721.16361,16164.30679
338,3,35,2440.621881,13896.70251,16337.32439
339,3,36,2438.100577,14062.83192,16500.9325
340,3,37,2435.579274,14219.87323,16655.45251
341,3,38,2433.05797,14368.14782,16801.20579
342,3,39,2430.536667,14507.97708,16938.51375
343,3,40,2428.015363,14639.6824,17067.69776
344,3,41,2425.494059,14763.58515,17189.07921
345,3,42,2422.972756,14880.00672,17302.97947
346,3,43,2420.451452,14989.2685,17409.71995
347,3,44,2417.930149,15091.69187,17509.62201
348,3,45,2415.408845,15187.59821,17603.00706
349,3,46,2412.887541,15277.30892,17690.19646
350,3,47,2410.366238,15361.14538,17771.51161
351,3,48,2407.844934,15439.42896,17847.2739
352,3,49,2405.323631,15512.48107,17917.8047
353,3,50,2402.802327,15580.62307,17983.4254
354,3,51,2400.281023,15644.17636,18044.45738
355,3,52,2397.75972,15703.46232,18101.22204
356,3,53,2395.238416,15758.80234,18154.04075
357,3,54,2392.717113,15810.5178,18203.23491
358,3,55,2390.195809,15858.93008,18249.12589
359,3,56,2387.674505,15904.36057,18292.03508
360,3,57,2385.153202,15947.13066,18332.28386
361,3,58,2382.631898,15987.56173,18370.19363
362,3,59,2380.110595,16025.97517,18406.08576
363,3,60,2377.589291,16062.69235,18440.28164
364,3,61,2375.067987,16098.03467,18473.10266
365,3,62,2372.546684,16132.32351,18504.8702
366,3,63,2370.02538,16165.88026,18535.90564
367,3,64,2367.504077,16199.02629,18566.53037
368,3,65,2364.982773,16232.083,18597.06578
369,3,66,2362.461469,16265.37177,18627.83324
370,3,67,2359.940166,16299.21399,18659.15415
371,3,68,2357.418862,16333.93103,18691.34989
372,3,69,2354.897559,16369.84429,18724.74184
373,3,70,2352.376255,16407.27514,18759.6514
374,3,71,2349.854952,16446.54498,18796.39993
375,3,72,2347.333648,16487.97519,18835.30884
376,3,73,2344.812344,16531.88716,18876.6995
377,3,74,2342.291041,16578.60226,18920.8933
378,3,75,2339.769737,16628.44188,18968.21162
379,3,76,2337.248434,16681.72742,19018.97585
380,3,77,2334.72713,16738.78025,19073.50738
381,3,78,2332.205826,16799.92175,19132.12758
382,3,79,2329.684523,16865.47332,19195.15784
383,3,80,2327.163219,16935.75634,19262.91956
384,3,81,2324.641916,17011.09219,19335.73411
385,3,82,2322.120612,17091.80226,19413.92287
386,3,83,2319.599308,17178.20793,19497.80724
387,3,84,2317.078005,17270.63059,19587.70859
388,3,85,2314.556701,17369.39162,19683.94832
389,3,86,2312.035398,17474.81241,19786.84781
390,3,87,2309.514094,17587.21434,19896.72844
391,3,88,2306.99279,17706.9188,20013.91159
392,3,89,2304.471487,17834.24717,20138.71866
393,3,90,2301.950183,17969.52084,20271.47102
394,3,91,2299.42888,18113.06119,20412.49007
395,3,92,2296.907576,18265.18961,20562.09718
396,3,93,2294.386272,18426.22748,20720.61375
397,3,94,2291.864969,18596.49618,20888.36115
398,3,95,2289.343665,18776.31711,21065.66078
399,3,96,2286.822362,18966.01164,21252.83401
400,3,97,2284.301058,19165.90117,21450.20223
401,3,98,2281.779754,19376.30707,21658.08683
402,3,99,2279.258451,19597.55074,21876.80919
403,3,100,2276.737147,19829.95354,22106.69069
404,4,0,3292.955044,0,3292.955044
405,4,1,3292.955044,544.5547386,3837.509782
406,4,2,3292.955044,1210.117146,4503.07219
407,4,3,3292.955044,1857.017077,5149.972121
408,4,4,3292.955044,2485.515872,5778.470916
409,4,5,3289.662089,3092.783371,6382.44546
410,4,6,3286.369134,3680.999836,6967.36897
411,4,7,3283.076179,4250.486652,7533.562831
412,4,8,3279.783224,4801.565203,8081.348427
413,4,9,3276.490269,5334.556875,8611.047143
414,4,10,3273.197314,5849.783051,9122.980365
415,4,11,3269.904359,6347.565118,9617.469477
416,4,12,3266.611403,6828.22446,10094.83586
417,4,13,3263.318448,7292.082462,10555.40091
418,4,14,3260.025493,7739.460509,10999.486
419,4,15,3256.732538,8170.679985,11427.41252
420,4,16,3253.439583,8586.062277,11839.50186
421,4,17,3250.146628,8985.928767,12236.0754
422,4,18,3246.853673,9370.600843,12617.45452
423,4,19,3243.560718,9740.399887,12983.96061
424,4,20,3240.267763,10095.64729,13335.91505
425,4,21,3236.974808,10436.66442,13673.63923
426,4,22,3233.681853,10763.77269,13997.45454
427,4,23,3230.388898,11077.29346,14307.68235
428,4,24,3227.095943,11377.54812,14604.64406
429,4,25,3223.802988,11664.85806,14888.66105
430,4,26,3220.510033,11939.54467,15160.0547
431,4,27,3217.217078,12201.92933,15419.14641
432,4,28,3213.924123,12452.33342,15666.25754
433,4,29,3210.631168,12691.07832,15901.70949
434,4,30,3207.338213,12918.48543,16125.82365
435,4,31,3204.045258,13134.87613,16338.92139
436,4,32,3200.752303,13340.57181,16541.32411
437,4,33,3197.459348,13535.89384,16733.35318
438,4,34,3194.166393,13721.16361,16915.33
439,4,35,3190.873437,13896.70251,17087.57595
440,4,36,3187.580482,14062.83192,17250.4124
441,4,37,3184.287527,14219.87323,17404.16076
442,4,38,3180.994572,14368.14782,17549.1424
443,4,39,3177.701617,14507.97708,17685.6787
444,4,40,3174.408662,14639.6824,17814.09106
445,4,41,3171.115707,14763.58515,17934.70085
446,4,42,3167.822752,14880.00672,18047.82947
447,4,43,3164.529797,14989.2685,18153.79829
448,4,44,3161.236842,15091.69187,18252.92871
449,4,45,3157.943887,15187.59821,18345.5421
450,4,46,3154.650932,15277.30892,18431.95985
451,4,47,3151.357977,15361.14538,18512.50335
452,4,48,3148.065022,15439.42896,18587.49398
453,4,49,3144.772067,15512.48107,18657.25313
454,4,50,3141.479112,15580.62307,18722.10218
455,4,51,3138.186157,15644.17636,18782.36252
456,4,52,3134.893202,15703.46232,18838.35552
457,4,53,3131.600247,15758.80234,18890.40258
458,4,54,3128.307292,15810.5178,18938.82509
459,4,55,3125.014337,15858.93008,18983.94441
460,4,56,3121.721382,15904.36057,19026.08195
461,4,57,3118.428426,15947.13066,19065.55909
462,4,58,3115.135471,15987.56173,19102.6972
463,4,59,3111.842516,16025.97517,19137.81768
464,4,60,3108.549561,16062.69235,19171.24191
465,4,61,3105.256606,16098.03467,19203.29128
466,4,62,3101.963651,16132.32351,19234.28716
467,4,63,3098.670696,16165.88026,19264.55095
468,4,64,3095.377741,16199.02629,19294.40403
469,4,65,3092.084786,16232.083,19324.16779
470,4,66,3088.791831,16265.37177,19354.1636
471,4,67,3085.498876,16299.21399,19384.71286
472,4,68,3082.205921,16333.93103,19416.13695
473,4,69,3078.912966,16369.84429,19448.75725
474,4,70,3075.620011,16407.27514,19482.89515
475,4,71,3072.327056,16446.54498,19518.87204
476,4,72,3069.034101,16487.97519,19557.00929
477,4,73,3065.741146,16531.88716,19597.6283
478,4,74,3062.448191,16578.60226,19641.05045
